Major,Early Career Pay,Mid-Career Pay,Meaningfulness0,Petroleum Engineering,"$93,200","$187,300",67%
Environmental Engineering,"$62,600","$104,800",62%
International Management,"$54,100","$104,800",51%
Computer Information Systems,"$59,400","$104,700",42%
Corporate Finance,"$63,600","$104,300",43%
Genetics,"$52,200","$104,100",72%
International Business,"$55,300","$104,100",39%
Agricultural Engineering (AE),"$63,100","$104,000",63%
Consumer Economics,"$53,700","$103,800",40%
Finance & Marketing,"$56,800","$103,700",46%
Computer Information Systems (CIS),"$60,500","$103,500",47%
Business Finance,"$57,200","$103,300",42%
Psychobiology,"$49,600","$103,100",65%
Strategic Management,"$66,200","$103,100",47%
Construction Trades,"$61,900","$103,100",48%
Operations Management (OM),"$61,500","$103,000",45%
Entrepreneurship & Leadership,"$57,100","$102,900",43%
Electrical Engineering Technology (EET),"$66,300","$102,800",47%
Computer Science & Information Technology,"$66,000","$102,700",50%
Food Marketing,"$56,300","$102,700",24%
International Marketing,"$59,000","$102,600",22%
Network Engineering,"$60,700","$102,600",55%
Building Construction Management,"$61,300","$102,400",63%
Engineering Technology (ET),"$58,400","$102,300",47%
International Relations,"$52,800","$102,200",49%
Management & Finance,"$56,800","$102,200",59%
Information Security,"$66,400","$102,200",48%
Business Operations,"$63,500","$102,100",-
Industrial Management,"$57,800","$102,000",53%
Architectural Engineering,"$65,000","$101,900",58%
Hotel Administration,"$64,900","$101,900",35%
Manufacturing,"$57,600","$101,500",48%
Agricultural Economics & Business,"$54,900","$101,400",56%
Web Development,"$56,400","$101,300",46%
Aviation,"$54,000","$101,200",48%
Telecommunications Management,"$55,000","$101,200",42%
Property Management,"$55,200","$101,000",47%
Comparative Literature,"$48,100","$100,900",46%
Construction Science & Management,"$64,700","$100,800",71%
Biotechnology,"$53,100","$100,700",59%
Industrial & Labor Relations,"$69,800","$100,600",44%
Real Estate,"$59,900","$100,600",36%
Mechanical Engineering Technology (MET),"$64,200","$100,400",48%
Labor Relations,"$53,000","$100,300",41%
Electronics,"$57,500","$100,200",63%
Biochemistry (BCH),"$50,400","$99,900",62%
Politics,"$53,000","$99,900",51%
Accounting & Auditing,"$57,800","$99,800",45%
Chinese Language,"$54,200","$99,600",43%
Information Science (IS),"$66,300","$99,500",36%
East Asian Studies,"$49,800","$99,400",42%
Accounting & Finance,"$59,200","$99,300",45%
Network Security,"$62,300","$99,300",50%
Information Technology (IT),"$59,100","$99,200",46%
Aviation Management,"$50,900","$99,100",58%
Occupational Health and Safety,"$59,900","$99,100",69%
Agribusiness,"$50,700","$98,900",53%
Business & Marketing,"$51,000","$98,900",45%
Computer Engineering Technology (CET),"$63,000","$98,900",47%
Computer Security,"$68,100","$98,700",43%
Operations & Supply Chain Management,"$61,300","$98,600",45%
Entomology,"$45,900","$98,500",-
Music Production & Engineering,"$43,100","$98,400",43%
Industrial Engineering Technology,"$67,200","$98,400",53%
Logistics & Supply Chain Management,"$59,000","$98,300",47%
Supply Chain Management,"$61,700","$98,300",41%
Accounts,"$59,800","$98,300",44%
Economics & Management,"$54,400","$98,200",-
Environmental Policy Analysis & Planning,"$51,000","$98,200",65%
Physical Therapy,"$55,500","$98,200",88%
European History,"$52,300","$98,000",47%
Robotics & Automation,"$66,100","$98,000",63%
Geological Engineering,"$61,700","$97,900",54%
Manufacturing Technology,"$59,900","$97,900",46%
Chemistry,"$51,600","$97,500",55%
Business Logistics & Transportation,"$56,400","$97,400",44%
Food Science & Technology,"$53,100","$97,300",49%
City & Regional Planning,"$51,800","$97,200",70%
Civil Engineering Technology (CET),"$58,300","$97,200",60%
Electronics Engineering Technology (EET),"$64,300","$97,100",50%
English & Psychology,"$42,600","$97,100",-
Finance & Banking,"$55,300","$97,100",47%
Mechanical Design,"$60,900","$97,100",45%
Applied Technology,"$55,500","$97,000",62%
Marketing & Management,"$50,000","$96,900",45%
Technical & Scientific Communication,"$50,700","$96,800",37%
Financial Planning,"$54,000","$96,600",63%
Organizational Behavior,"$57,000","$96,600",51%
Marketing,"$51,700","$96,600",40%
Dairy Science,"$51,200","$96,200",68%
Project Management,"$56,800","$96,200",58%
Government & International Politics (GVIP),"$51,300","$96,100",49%
Latin American Studies,"$46,700","$96,100",62%
Industrial Design (ID),"$55,100","$95,900",41%
Web Design & Development,"$53,100","$95,900",44%
Computing & Information Systems (CIS),"$58,100","$95,800",40%
Electromechanical Engineering,"$70,500","$95,800",55%
Industrial Technology (IT),"$62,200","$95,800",50%
Information Technology (IT) & Systems,"$61,100","$95,800",47%
Biopsychology,"$53,300","$95,700",74%
Government & Politics,"$52,400","$95,700",51%
Microbiology & Immunology,"$54,900","$95,400",68%
Chemistry & Environmental Science,"$48,200","$95,400",-
Interactive Media Design,"$54,000","$95,300",38%
Risk Management,"$58,500","$95,300",42%
Cell Biology,"$50,100","$95,200",59%
Aeronautics,"$62,800","$95,100",64%
Welding Engineering Technology,"$74,700","$95,000",42%
Finance & Management Information Systems,"$63,900","$94,800",-
Computer Science (CS) & Business,"$81,100","$94,600",28%
Environmental Science & Policy,"$49,500","$94,500",59%
Marketing & Communications,"$49,600","$94,500",45%
Safety Management,"$60,100","$94,500",70%
Business Technology Management,"$57,400","$94,400",42%
